City,Date,TempMin,TempMax,TempAvg,FeelsLike,Humidity,WindSpeed,Pressure,CloudCover,Rainfall,Weather
Muzaffarnagar,2026-03-21,29.6,36.6,32.6,34.6,83,2.9,1005,41,1.6,Rain
Etawah,2026-03-17,30.2,37.2,33.2,35.2,66,3.2,1002,27,1.5,Rain
Etawah,2026-03-18,34.7,41.7,37.7,39.7,71,4,1015,3,0,Clear
Etawah,2026-03-19,35.6,42.6,38.6,40.6,61,2.9,1013,0,1.2,Rain
Etawah,2026-03-20,34.6,41.6,37.6,39.6,78,7.8,1003,44,0,Haze
Etawah,2026-03-21,31,38,34,36,82,6.1,1007,20,0,Clear
Firozabad,2026-03-17,33.3,40.3,36.3,38.3,58,7.1,1017,30,0,Mist
Firozabad,2026-03-18,30,37,33,35,83,2.4,1017,19,0,Mist
Firozabad,2026-03-19,30,37,33,35,77,3,1012,50,12.1,Rain
Firozabad,2026-03-20,31,38,34,36,78,4.4,1004,42,11.1,Rain
Firozabad,2026-03-21,32.2,39.2,35.2,37.2,54,6.6,1007,31,0,Mist
Hardoi,2026-03-17,32,39,35,37,72,4,1007,41,0,Mist
Hardoi,2026-03-18,30.4,37.4,33.4,35.4,50,2.7,1011,8,0,Clouds
Hardoi,2026-03-19,32.5,39.5,35.5,37.5,75,5.9,1010,65,0,Haze
Hardoi,2026-03-20,32.4,39.4,35.4,37.4,78,7.1,1012,69,0,Haze
Hardoi,2026-03-21,28.1,35.1,31.1,33.1,81,5.5,1014,33,0,Clouds
Rampur,2026-03-17,30.4,37.4,33.4,35.4,67,3.2,1011,45,0,Clear
Rampur,2026-03-18,30.5,37.5,33.5,35.5,64,7.8,1009,65,0,Haze
Rampur,2026-03-19,28.6,35.6,31.6,33.6,70,5.8,1012,67,10.1,Rain
Rampur,2026-03-20,31.8,38.8,34.8,36.8,53,4.3,1012,35,0,Haze
Rampur,2026-03-21,33.9,40.9,36.9,38.9,80,2.8,1009,11,0,Clear
Rae Bareli,2026-03-17,31.7,38.7,34.7,36.7,56,3.6,1006,33,0,Clouds
Rae Bareli,2026-03-18,33.1,40.1,36.1,38.1,78,6.1,1016,18,0,Mist
Rae Bareli,2026-03-19,32.2,39.2,35.2,37.2,75,5.2,1014,22,0,Clouds
Rae Bareli,2026-03-20,31.7,38.7,34.7,36.7,59,4.7,1010,68,0,Haze
Rae Bareli,2026-03-21,30,37,33,35,74,3,1011,16,0,Clear
Bijnor,2026-03-17,29.7,36.7,32.7,34.7,63,7.6,1017,34,0.6,Rain
Bijnor,2026-03-18,31.1,38.1,34.1,36.1,52,7.3,1017,11,0,Clouds
Bijnor,2026-03-19,28.3,35.3,31.3,33.3,68,3.7,1008,52,0,Clear
Bijnor,2026-03-20,30.2,37.2,33.2,35.2,84,3,1007,5,0,Haze
Bijnor,2026-03-21,31.8,38.8,34.8,36.8,52,2.7,1017,24,0,Clear
Sitapur,2026-03-17,31.5,38.5,34.5,36.5,64,3.4,1008,14,0,Haze
Sitapur,2026-03-18,28.6,35.6,31.6,33.6,75,4.9,1006,41,0,Mist
Sitapur,2026-03-19,33,40,36,38,83,2.3,1005,26,0,Haze
Sitapur,2026-03-20,31,38,34,36,62,2.7,1015,36,0,Clear
Sitapur,2026-03-21,32.2,39.2,35.2,37.2,61,6.8,1004,47,0,Clear
